Key,Scaler,Window Size,Best Params,Accuracy,Precision,Recall,F1 Score
Overtaking_MinMaxScaler_n5,MinMaxScaler,n5,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.7168284789644013,0.8122529644268774,0.6171171171171171,0.7013651877133105
Overtaking_MinMaxScaler_n10,MinMaxScaler,n10,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.7653721682847896,0.8257839721254355,0.713855421686747,0.7657512116316639
Overtaking_MinMaxScaler_n20,MinMaxScaler,n20,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.7799352750809061,0.8402777777777778,0.7289156626506024,0.7806451612903226
Overtaking_MinMaxScaler_n30,MinMaxScaler,n30,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.8009708737864077,0.8301886792452831,0.7927927927927928,0.8110599078341014
Overtaking_MinMaxScaler_n40,MinMaxScaler,n40,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.6883116883116883,0.7868852459016393,0.5783132530120482,0.6666666666666666
Overtaking_StandardScaler_n5,StandardScaler,n5,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.7726537216828478,0.9405034324942791,0.6171171171171171,0.7452402538531278
Overtaking_StandardScaler_n10,StandardScaler,n10,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.7686084142394822,0.9395348837209302,0.608433734939759,0.7385740402193784
Overtaking_StandardScaler_n20,StandardScaler,n20,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.7669902912621359,0.9433962264150944,0.6024096385542169,0.7352941176470588
Overtaking_StandardScaler_n30,StandardScaler,n30,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.7766990291262136,0.9577464788732394,0.6126126126126126,0.7472527472527472
Overtaking_StandardScaler_n40,StandardScaler,n40,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.7532467532467533,0.9245283018867925,0.5903614457831325,0.7205882352941178
Overtaking_discretized_n5,discretized,n5,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.7524271844660194,0.9761904761904762,0.5540540540540541,0.706896551724138
Overtaking_discretized_n10,discretized,n10,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.7556634304207119,0.9788359788359788,0.5572289156626506,0.7101727447216891
Overtaking_discretized_n20,discretized,n20,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.7540453074433657,0.96875,0.5602409638554217,0.7099236641221375
Overtaking_discretized_n30,discretized,n30,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.7572815533980582,0.9692307692307692,0.5675675675675675,0.7159090909090908
Overtaking_discretized_n40,discretized,n40,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.7467532467532467,0.94,0.5662650602409639,0.7067669172932332
