Segmentation,Window Size,Scaler,Maneuver,Best Params,Accuracy,Precision,Recall,F1 Score
overlapping,5,discrete,STISIMData_U-Turnings,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}",0.5214918882756314,0.4562358276643991,0.3770614692653673,0.41288733839523906
overlapping,5,standard,STISIMData_U-Turnings,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.5606288677036294,0.5095039406583217,0.41191904047976013,0.4555440414507772
overlapping,5,minmax,STISIMData_U-Turnings,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.560796119752467,0.5097402597402597,0.41191904047976013,0.4556384742951907
overlapping,10,discrete,STISIMData_U-Turnings,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}",0.512387010378306,0.44202555608140087,0.35007496251874065,0.390713239907969
overlapping,10,standard,STISIMData_U-Turnings,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 50}",0.5647807164378975,0.5153429602888087,0.4280359820089955,0.46764946764946763
overlapping,10,minmax,STISIMData_U-Turnings,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 50}",0.5647807164378975,0.5153429602888087,0.4280359820089955,0.46764946764946763
overlapping,15,discrete,STISIMData_U-Turnings,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.5141564751214609,0.44217347956131603,0.33245877061469264,0.3795464270432178
overlapping,15,standard,STISIMData_U-Turnings,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.5665940693583514,0.5183175033921302,0.4295352323838081,0.4697683951629432
overlapping,15,minmax,STISIMData_U-Turnings,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.565923940358519,0.517428700769579,0.42841079460269865,0.46873077711708017
overlapping,20,discrete,STISIMData_U-Turnings,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.5122401073105298,0.4435067979371777,0.3545727136431784,0.39408456571547595
overlapping,20,standard,STISIMData_U-Turnings,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",0.5694164989939637,0.5225022502250225,0.4351574212893553,0.47484662576687114
overlapping,20,minmax,STISIMData_U-Turnings,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",0.5695841716968477,0.5227579990986931,0.43478260869565216,0.47472887251892776
non_overlapping,5,discrete,STISIMData_U-Turnings,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.5125418060200669,0.44948453608247424,0.40823970037453183,0.4278704612365064
non_overlapping,5,standard,STISIMData_U-Turnings,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}",0.5568561872909699,0.5045871559633027,0.41198501872659177,0.4536082474226804
non_overlapping,5,minmax,STISIMData_U-Turnings,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}",0.5568561872909699,0.5045871559633027,0.41198501872659177,0.4536082474226804
non_overlapping,10,discrete,STISIMData_U-Turnings,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}",0.5117056856187291,0.4411764705882353,0.3358208955223881,0.3813559322033898
non_overlapping,10,standard,STISIMData_U-Turnings,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.5518394648829431,0.5,0.40671641791044777,0.448559670781893
non_overlapping,10,minmax,STISIMData_U-Turnings,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.5501672240802675,0.4976958525345622,0.40298507462686567,0.44536082474226807
non_overlapping,15,discrete,STISIMData_U-Turnings,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.5025125628140703,0.4315068493150685,0.3539325842696629,0.3888888888888889
non_overlapping,15,standard,STISIMData_U-Turnings,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.5603015075376885,0.5102040816326531,0.42134831460674155,0.46153846153846156
non_overlapping,15,minmax,STISIMData_U-Turnings,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 200}",0.5603015075376885,0.5100671140939598,0.42696629213483145,0.4648318042813456
non_overlapping,20,discrete,STISIMData_U-Turnings,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.49498327759197325,0.43243243243243246,0.35294117647058826,0.38866396761133604
non_overlapping,20,standard,STISIMData_U-Turnings,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.5518394648829431,0.5092592592592593,0.40441176470588236,0.45081967213114754
non_overlapping,20,minmax,STISIMData_U-Turnings,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.5551839464882943,0.514018691588785,0.40441176470588236,0.45267489711934156
